,channel_title,view_count,subscriber_count,video_count,ratio
36,ChessBase India,909271596,1170000,8777,777.1552102564102
47,Sambhavna Seth Entertainment,1975052135,3460000,1568,570.8243164739885
32,Abhishek Prajapati,57523239,105000,348,547.8403714285714
1,Boyzz World Gaming,761326,1690,196,450.4887573964497
33,Mumbiker Nikhil,1524540220,3960000,2123,384.98490404040405
10,Jentilal,2227523,5890,229,378.18726655348047
41,NeuzBoy,383891033,1170000,1025,328.111994017094
45,Samay Raina,340523224,1130000,872,301.34798584070796
0,Onkiify,1443714,4820,193,299.52572614107885
34,MOinsideHIT,297497038,1000000,1026,297.497038
9,Comedy Box R k Gautam,2852009,10100,297,282.3771287128713
40,Neon Man,507172318,1820000,1185,278.6661087912088
44,Vivek Desai,24390585,90400,425,269.80735619469027
27,Finance With Sharan,388133294,1660000,273,233.8152373493976
11,AG !,19544498,91200,106,214.30370614035087
43,Jordindian,584652553,2780000,185,210.3066737410072
35,Intxstelar,37350665,184000,130,202.99274456521738
17,Gate Smashers,268700525,1350000,1236,199.03742592592593
23,Prafull MBA CHAI WALA,297531859,1650000,959,180.32233878787878
19,Rajat Arora,362923358,2060000,1250,176.17638737864078
30,Sakshi Shrivas,32852015,197000,62,166.76149746192894
29,Amusing Rii,82651127,508000,117,162.6990688976378
8,Ziyan Ki Gang,1640577,10300,384,159.2793203883495
14,Nazar Battu,573331048,4190000,195,136.83318568019092
20,RAIL GYANKOSH,134394531,1000000,316,134.394531
38,Anime Spirit,34383474,276000,143,124.57780434782609
18,SAURABH DAHIVADKAR,18266083,154000,757,118.61092857142857
4,Paglaa Tech,17097445,147000,184,116.30914965986395
46,Log Kya Kahenge,57763135,503000,157,114.83724652087476
13,DilSeBuraLagtaHai Bhai,5141,45,27,114.24444444444444
49,Jenny's Lectures CS IT,126587245,1170000,600,108.1942264957265
7,SILENT GIRL GAMING,260787957,2590000,1407,100.69033088803089
12,Comedian Vikas Thakur,1086269,11400,67,95.28675438596491
31,Rohan Joshi,13150473,171000,92,76.90335087719298
22,warikoo,214606523,2800000,861,76.64518678571429
39,SeeKen,295923498,3920000,444,75.49068826530612
48,ANS Entertainment,102133580,1390000,123,73.47739568345324
26,pranjal kamra,368547033,5110000,418,72.12270704500979
5,Prabhat Gamer,154045275,2150000,249,71.64896511627907
2,Majnu Gaming,290799,4690,468,62.00405117270789
42,Roman Mania,6008183,103000,281,58.33187378640777
25,CA Rachana Phadke Ranade,231870766,4360000,1013,53.181368348623856
15,Sudarshan Gurjar,5642167,109000,303,51.763
6,SUBHAM HORE,53777584,1110000,1072,48.44827387387387
3,SELEM YT,6427859,133000,339,48.329766917293234
28,Ishaan Arora,917729,19800,100,46.34994949494949
16,Priyansh Agarwal,1934597,46600,145,41.51495708154506
37,R.G Bucket List,124390259,3020000,16,41.18882748344371
21,Devsnest,557965,15400,200,36.23149350649351
24,Gold Janardhan Investor,56637,3560,124,15.909269662921348
